               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  21,            0.019386,           0.0063317,           0.0015891,             0.98769,             0.99056,             0.99301,             0.80301,            0.016038,           0.0040195,           0.0010773,             0.00802,             0.00802,             0.00802
                  22,            0.019163,            0.006251,           0.0015916,             0.98798,             0.98781,             0.99303,             0.80822,            0.015666,           0.0039646,            0.001047,            0.007921,            0.007921,            0.007921
                  23,            0.019147,           0.0062984,           0.0016203,              0.9843,             0.99173,              0.9923,             0.80983,            0.015363,           0.0039688,           0.0010084,            0.007822,            0.007822,            0.007822
                  24,            0.018687,           0.0061753,           0.0014957,             0.98611,             0.99047,             0.99324,              0.8088,            0.015533,           0.0039379,           0.0010245,            0.007723,            0.007723,            0.007723
                  25,            0.018565,           0.0061061,            0.001271,              0.9887,             0.99081,              0.9934,              0.8161,            0.015539,           0.0038762,          0.00093926,            0.007624,            0.007624,            0.007624
                  26,            0.018383,           0.0060915,           0.0012944,             0.98908,             0.99305,             0.99388,             0.81975,            0.014928,           0.0038405,          0.00089355,            0.007525,            0.007525,            0.007525
                  27,            0.018317,            0.006014,           0.0012193,             0.98704,             0.99168,             0.99241,             0.81557,            0.015091,           0.0038606,          0.00087874,            0.007426,            0.007426,            0.007426
                  28,            0.018245,           0.0059786,           0.0015081,             0.98606,             0.99307,             0.99313,             0.81611,            0.014872,           0.0038745,          0.00085085,            0.007327,            0.007327,            0.007327
                  29,            0.018054,            0.005989,           0.0013861,             0.98907,             0.98943,             0.99383,             0.82052,            0.014741,           0.0038162,           0.0011334,            0.007228,            0.007228,            0.007228
                  30,            0.017906,           0.0060412,           0.0012293,             0.98862,             0.99222,             0.99321,             0.82607,             0.01447,           0.0037128,          0.00085687,            0.007129,            0.007129,            0.007129
                  31,            0.017736,           0.0058999,            0.001116,             0.99143,             0.98838,             0.99389,             0.82449,            0.014555,           0.0037556,          0.00086572,             0.00703,             0.00703,             0.00703
                  32,            0.017512,           0.0060214,           0.0011018,             0.98748,             0.99384,             0.99422,             0.82761,            0.014446,           0.0037071,          0.00076423,            0.006931,            0.006931,            0.006931
                  33,            0.017472,           0.0059091,           0.0010479,             0.99176,             0.99236,             0.99417,             0.83046,             0.01422,           0.0036972,           0.0007828,            0.006832,            0.006832,            0.006832
                  34,            0.017376,           0.0057726,           0.0010964,             0.98382,             0.99428,             0.99358,             0.83208,            0.014176,           0.0036663,          0.00078049,            0.006733,            0.006733,            0.006733
                  35,            0.017245,           0.0057952,           0.0011109,             0.98758,             0.99355,             0.99407,             0.83338,             0.01427,           0.0037718,          0.00076349,            0.006634,            0.006634,            0.006634
                  36,            0.017325,           0.0058092,           0.0012205,             0.98793,             0.99405,             0.99365,             0.83343,            0.014168,           0.0037202,          0.00080764,            0.006535,            0.006535,            0.006535
                  37,             0.01703,           0.0057082,          0.00098701,             0.98695,             0.99469,             0.99381,             0.83603,            0.014078,            0.003668,          0.00070744,            0.006436,            0.006436,            0.006436
                  38,            0.016806,           0.0057532,           0.0010197,             0.98905,             0.99361,             0.99397,             0.83148,            0.014111,           0.0036127,          0.00070897,            0.006337,            0.006337,            0.006337
                  39,            0.016933,           0.0057667,           0.0010271,             0.99367,             0.99302,             0.99415,             0.83582,            0.013735,           0.0036337,          0.00056258,            0.006238,            0.006238,            0.006238
                  40,            0.016684,           0.0058047,          0.00094599,             0.99113,             0.99554,             0.99438,             0.83407,             0.01392,           0.0036566,          0.00064547,            0.006139,            0.006139,            0.006139
                  41,            0.016545,           0.0056959,          0.00088625,             0.98994,             0.99483,             0.99445,             0.83986,            0.013813,           0.0036086,          0.00069344,             0.00604,             0.00604,             0.00604
                  42,            0.016472,            0.005631,          0.00078436,             0.99098,             0.99597,             0.99461,             0.83945,            0.013647,           0.0035751,          0.00061029,            0.005941,            0.005941,            0.005941
                  43,            0.016282,           0.0056769,          0.00079246,             0.99063,             0.99283,             0.99418,             0.83949,             0.01356,           0.0036169,          0.00063601,            0.005842,            0.005842,            0.005842
                  44,             0.01609,           0.0055914,          0.00090007,             0.99179,             0.99643,             0.99408,             0.84416,            0.013336,             0.00353,          0.00063093,            0.005743,            0.005743,            0.005743
                  45,            0.016011,           0.0055482,          0.00084831,             0.99304,             0.99188,             0.99385,             0.84148,            0.013322,           0.0035208,          0.00065593,            0.005644,            0.005644,            0.005644
                  46,            0.015956,            0.005562,          0.00084241,             0.99073,             0.99637,              0.9942,             0.84739,            0.013258,           0.0035034,          0.00060362,            0.005545,            0.005545,            0.005545
                  47,            0.015992,           0.0055982,          0.00078882,             0.98673,             0.99591,              0.9941,             0.84472,            0.013324,           0.0035126,          0.00066465,            0.005446,            0.005446,            0.005446
                  48,            0.015649,           0.0055112,          0.00079265,             0.99338,             0.99619,             0.99431,             0.84269,            0.013269,            0.003487,          0.00051586,            0.005347,            0.005347,            0.005347
                  49,            0.015406,           0.0054366,          0.00076297,              0.9938,             0.99558,             0.99398,             0.84564,            0.013107,           0.0034415,           0.0005539,            0.005248,            0.005248,            0.005248
                  50,             0.01551,           0.0053879,          0.00073311,             0.99483,             0.99642,             0.99445,             0.84797,            0.012888,           0.0034211,          0.00050059,            0.005149,            0.005149,            0.005149
                  51,            0.015272,           0.0053586,          0.00081399,             0.99362,             0.99451,             0.99403,             0.84794,            0.012981,           0.0034616,          0.00061206,             0.00505,             0.00505,             0.00505
                  52,            0.015337,           0.0053735,           0.0007641,             0.99155,             0.99765,             0.99402,             0.84965,            0.012875,           0.0034673,          0.00050847,            0.004951,            0.004951,            0.004951
                  53,            0.015107,           0.0053703,           0.0007221,             0.99212,             0.99579,             0.99422,             0.85266,             0.01274,           0.0034152,          0.00041949,            0.004852,            0.004852,            0.004852
                  54,            0.015087,           0.0053499,          0.00076279,             0.99164,               0.997,             0.99424,             0.85494,            0.012683,            0.003405,          0.00042729,            0.004753,            0.004753,            0.004753
                  55,            0.014982,           0.0052725,          0.00069515,             0.99178,             0.99811,              0.9944,             0.85364,            0.012704,           0.0033917,          0.00035868,            0.004654,            0.004654,            0.004654
                  56,            0.014758,           0.0053383,          0.00066616,             0.99312,               0.998,             0.99438,             0.85732,            0.012436,           0.0033459,          0.00030232,            0.004555,            0.004555,            0.004555
                  57,            0.014841,           0.0052481,          0.00069655,             0.99253,             0.99721,             0.99432,             0.85662,            0.012429,           0.0033478,          0.00033622,            0.004456,            0.004456,            0.004456
                  58,            0.014564,           0.0051603,          0.00061341,             0.99457,             0.99727,             0.99432,             0.85702,            0.012285,            0.003318,          0.00030113,            0.004357,            0.004357,            0.004357
                  59,            0.014515,           0.0052479,          0.00067897,             0.99697,             0.99596,             0.99462,             0.86176,            0.012212,           0.0032921,          0.00031126,            0.004258,            0.004258,            0.004258
                  60,            0.014296,           0.0051495,          0.00057035,             0.99223,             0.99767,             0.99422,             0.86246,            0.012201,            0.003296,          0.00031505,            0.004159,            0.004159,            0.004159
                  61,            0.014309,           0.0051514,          0.00065847,             0.99267,             0.99759,             0.99418,             0.86456,            0.012051,           0.0033096,          0.00025727,             0.00406,             0.00406,             0.00406
                  62,            0.014014,           0.0050463,          0.00061481,             0.99511,             0.99619,             0.99447,             0.86332,            0.012024,           0.0032816,          0.00025704,            0.003961,            0.003961,            0.003961
                  63,            0.014223,           0.0051068,          0.00062051,             0.99384,             0.99719,             0.99421,             0.86239,            0.012025,           0.0032938,          0.00037859,            0.003862,            0.003862,            0.003862
                  64,            0.013839,           0.0050829,          0.00060109,             0.99268,             0.99676,              0.9945,             0.86663,            0.011772,           0.0032613,          0.00033518,            0.003763,            0.003763,            0.003763
                  65,            0.013725,           0.0049132,          0.00049196,             0.99423,             0.99656,             0.99431,             0.86531,            0.011798,           0.0032272,           0.0002582,            0.003664,            0.003664,            0.003664
                  66,            0.013796,           0.0050408,            0.000557,             0.99466,              0.9988,             0.99439,             0.86667,            0.011702,           0.0032349,          0.00022206,            0.003565,            0.003565,            0.003565
                  67,            0.013431,            0.004928,          0.00054378,             0.99465,             0.99816,             0.99456,             0.86814,            0.011636,           0.0032132,          0.00021062,            0.003466,            0.003466,            0.003466
                  68,             0.01365,            0.004935,          0.00061106,             0.99395,             0.99808,             0.99465,              0.8675,            0.011547,           0.0031932,          0.00021367,            0.003367,            0.003367,            0.003367
                  69,            0.013336,           0.0049287,          0.00048833,             0.99567,             0.99885,             0.99459,             0.86906,            0.011472,            0.003168,          0.00019541,            0.003268,            0.003268,            0.003268
                  70,            0.013277,           0.0048521,          0.00046602,             0.99567,             0.99838,             0.99461,             0.87256,            0.011362,           0.0031498,          0.00017561,            0.003169,            0.003169,            0.003169
                  71,            0.013285,           0.0048707,          0.00052374,             0.99588,             0.99718,             0.99464,              0.8715,            0.011317,           0.0031519,          0.00019734,             0.00307,             0.00307,             0.00307
                  72,            0.012918,           0.0048288,          0.00044986,             0.99557,             0.99799,              0.9946,             0.87391,            0.011231,           0.0031394,          0.00017451,            0.002971,            0.002971,            0.002971
                  73,             0.01285,           0.0048621,          0.00048686,             0.99564,             0.99834,             0.99469,             0.87677,            0.011088,           0.0031194,          0.00016855,            0.002872,            0.002872,            0.002872
                  74,            0.012726,           0.0047776,          0.00052553,             0.99585,             0.99767,             0.99471,             0.87753,            0.010969,           0.0030929,          0.00018607,            0.002773,            0.002773,            0.002773
                  75,            0.012562,           0.0047099,          0.00042938,             0.99529,             0.99788,             0.99468,             0.87909,            0.010968,           0.0030933,          0.00019066,            0.002674,            0.002674,            0.002674
                  76,             0.01259,           0.0047602,          0.00049736,             0.99599,             0.99858,             0.99458,              0.8779,            0.010944,           0.0030894,           0.0001494,            0.002575,            0.002575,            0.002575
                  77,            0.012364,           0.0047578,          0.00039415,             0.99664,             0.99785,             0.99464,             0.88042,            0.010898,           0.0030809,          0.00013945,            0.002476,            0.002476,            0.002476
                  78,            0.012374,           0.0046956,           0.0004626,             0.99678,             0.99824,             0.99464,             0.87876,            0.010866,           0.0030775,          0.00013499,            0.002377,            0.002377,            0.002377
                  79,            0.012198,           0.0046601,          0.00046139,             0.99644,             0.99785,             0.99464,             0.88077,              0.0108,           0.0030715,          0.00013047,            0.002278,            0.002278,            0.002278
                  80,            0.012185,           0.0046449,          0.00039068,             0.99484,             0.99802,             0.99458,             0.88003,            0.010748,           0.0030565,          0.00013608,            0.002179,            0.002179,            0.002179
                  81,            0.011914,            0.004467,          0.00047277,             0.99589,             0.99737,             0.99453,             0.88235,            0.010697,           0.0030351,          0.00012387,             0.00208,             0.00208,             0.00208
                  82,            0.011797,           0.0045564,          0.00042586,             0.99537,             0.99811,             0.99439,              0.8819,            0.010659,            0.003032,          0.00011588,            0.001981,            0.001981,            0.001981
                  83,            0.011734,           0.0045891,          0.00036396,             0.99531,             0.99833,             0.99432,             0.88456,            0.010595,           0.0030284,           0.0001071,            0.001882,            0.001882,            0.001882
                  84,            0.011714,           0.0044724,           0.0003507,             0.99562,             0.99839,             0.99445,             0.88519,            0.010524,           0.0030077,          9.9345e-05,            0.001783,            0.001783,            0.001783
                  85,            0.011636,           0.0045395,          0.00040592,             0.99552,             0.99839,             0.99452,             0.88463,            0.010474,           0.0029978,          9.2464e-05,            0.001684,            0.001684,            0.001684
                  86,            0.011544,           0.0044691,          0.00033595,             0.99557,             0.99828,             0.99454,             0.88488,            0.010391,           0.0029852,          8.7399e-05,            0.001585,            0.001585,            0.001585
                  87,            0.011277,            0.004392,          0.00030584,             0.99597,             0.99785,             0.99455,             0.88673,            0.010327,           0.0029729,          8.0925e-05,            0.001486,            0.001486,            0.001486
                  88,            0.011333,           0.0043435,           0.0003192,             0.99641,             0.99772,             0.99453,             0.88714,            0.010271,           0.0029598,          7.7536e-05,            0.001387,            0.001387,            0.001387
                  89,            0.011069,           0.0043606,          0.00037186,              0.9958,             0.99745,             0.99452,             0.88859,            0.010221,           0.0029525,          7.4154e-05,            0.001288,            0.001288,            0.001288
                  90,            0.010923,           0.0043519,           0.0002932,             0.99618,             0.99638,             0.99456,             0.88954,            0.010192,           0.0029447,           7.378e-05,            0.001189,            0.001189,            0.001189
                  91,            0.010979,           0.0043097,          0.00027107,             0.99679,             0.99702,             0.99458,             0.89036,            0.010152,            0.002934,           7.054e-05,             0.00109,             0.00109,             0.00109
                  92,            0.010732,           0.0043284,          0.00027702,             0.99662,              0.9973,             0.99453,             0.89111,            0.010104,           0.0029297,          6.5704e-05,            0.000991,            0.000991,            0.000991
                  93,            0.010717,           0.0042718,           0.0002573,             0.99702,             0.99772,             0.99453,             0.89101,            0.010073,           0.0029227,          6.1141e-05,            0.000892,            0.000892,            0.000892
                  94,            0.010592,           0.0041545,          0.00028875,             0.99666,             0.99777,             0.99453,             0.89198,            0.010056,           0.0029227,          5.8427e-05,            0.000793,            0.000793,            0.000793
                  95,            0.010582,           0.0042313,          0.00023251,             0.99671,             0.99784,             0.99451,             0.89271,            0.010034,           0.0029201,          5.5891e-05,            0.000694,            0.000694,            0.000694
                  96,             0.01042,           0.0042164,          0.00020992,             0.99681,             0.99812,             0.99452,             0.89221,            0.010014,            0.002916,          5.2671e-05,            0.000595,            0.000595,            0.000595
                  97,            0.010301,           0.0041464,          0.00023631,             0.99678,             0.99806,             0.99452,             0.89236,            0.009997,             0.00291,          5.1546e-05,            0.000496,            0.000496,            0.000496
                  98,            0.010207,           0.0041635,          0.00028757,             0.99679,             0.99852,              0.9945,             0.89332,           0.0099841,           0.0029052,          4.9862e-05,            0.000397,            0.000397,            0.000397
                  99,            0.010172,           0.0041929,          0.00024005,             0.99639,              0.9984,             0.99449,             0.89482,           0.0099648,           0.0029033,          4.7911e-05,            0.000298,            0.000298,            0.000298
