               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.058044,            0.019267,            0.046581,              0.7417,             0.76568,             0.79956,             0.38583,            0.034867,           0.0074102,            0.024166,            0.070017,           0.0033314,           0.0033314
                   1,            0.044913,            0.010577,            0.013763,             0.73095,             0.89114,             0.87533,             0.52497,            0.033175,           0.0061917,           0.0058554,            0.039951,           0.0065988,           0.0065988
                   2,            0.040235,           0.0093803,           0.0067798,             0.95287,             0.95955,             0.98371,             0.61547,            0.028203,           0.0056978,           0.0042527,           0.0098194,           0.0098001,           0.0098001
                   3,            0.034715,           0.0086707,           0.0053606,             0.95401,             0.96442,             0.98178,             0.68355,            0.024481,           0.0053301,           0.0033672,            0.009703,            0.009703,            0.009703
                   4,            0.030506,           0.0082031,           0.0045578,             0.97936,             0.96799,             0.98841,             0.72062,            0.021774,           0.0052087,           0.0026485,            0.009703,            0.009703,            0.009703
                   5,            0.028428,           0.0080481,           0.0039091,              0.9725,             0.97224,             0.98794,             0.72322,            0.020823,           0.0050081,           0.0022853,            0.009604,            0.009604,            0.009604
                   6,            0.026722,           0.0077467,           0.0033823,               0.979,             0.97658,             0.98766,             0.74461,            0.019211,           0.0046602,           0.0019472,            0.009505,            0.009505,            0.009505
                   7,             0.02552,           0.0075816,           0.0032732,             0.98006,             0.97603,             0.99078,             0.74434,            0.019275,           0.0046858,           0.0020204,            0.009406,            0.009406,            0.009406
                   8,            0.024344,           0.0073968,            0.002669,             0.98116,             0.97965,             0.99041,             0.76109,            0.018625,           0.0045679,           0.0016319,            0.009307,            0.009307,            0.009307
                   9,            0.023451,           0.0071464,            0.002527,             0.98352,             0.98192,             0.99045,             0.76876,            0.018105,           0.0045073,           0.0015998,            0.009208,            0.009208,            0.009208
                  10,            0.022914,           0.0070302,           0.0023725,             0.98519,             0.97972,             0.99208,             0.77105,            0.018055,           0.0043906,           0.0014702,            0.009109,            0.009109,            0.009109
                  11,            0.022284,           0.0068277,           0.0021239,             0.97448,             0.99083,              0.9923,             0.78814,            0.016991,           0.0043132,           0.0013745,             0.00901,             0.00901,             0.00901
                  12,            0.021689,           0.0068005,           0.0020052,             0.98298,             0.98556,              0.9916,             0.78273,            0.017069,           0.0043177,           0.0012554,            0.008911,            0.008911,            0.008911
                  13,            0.021505,           0.0068766,           0.0021753,             0.98749,             0.98574,              0.9923,             0.78916,            0.016802,           0.0042245,           0.0013525,            0.008812,            0.008812,            0.008812
                  14,            0.020996,           0.0066037,           0.0018421,               0.989,             0.98694,             0.99299,             0.79815,            0.016627,           0.0041411,           0.0011899,            0.008713,            0.008713,            0.008713
                  15,            0.020778,           0.0065967,           0.0016506,             0.98476,               0.989,             0.99184,             0.79561,            0.016283,           0.0041434,           0.0011692,            0.008614,            0.008614,            0.008614
                  16,            0.020451,           0.0063632,           0.0014872,             0.98747,             0.99121,             0.99312,             0.79259,            0.016463,           0.0040759,           0.0010865,            0.008515,            0.008515,            0.008515
                  17,            0.019963,           0.0063312,           0.0014918,             0.98946,             0.98809,             0.99332,             0.79544,              0.0162,           0.0040544,           0.0010527,            0.008416,            0.008416,            0.008416
                  18,            0.019698,           0.0063297,           0.0015806,             0.98756,             0.98845,             0.99257,             0.80208,            0.015851,           0.0040708,           0.0010864,            0.008317,            0.008317,            0.008317
                  19,            0.019863,           0.0063264,           0.0015943,             0.98798,             0.98901,             0.99309,             0.80349,            0.016207,           0.0040372,            0.001055,            0.008218,            0.008218,            0.008218
                  20,            0.019451,           0.0063451,           0.0015865,              0.9854,             0.99176,             0.99375,             0.80903,            0.015669,           0.0039753,           0.0010881,            0.008119,            0.008119,            0.008119
