               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,             0.02294,           0.0068415,            0.020821,             0.92009,             0.88514,             0.94128,             0.76252,            0.013262,           0.0027686,           0.0058529,            0.006535,            0.006535,            0.006535
                  37,            0.023354,           0.0068422,            0.020419,             0.93892,              0.8672,             0.93372,             0.74059,            0.013601,           0.0028779,           0.0055009,            0.006436,            0.006436,            0.006436
                  38,            0.022786,           0.0068389,            0.018736,             0.92235,             0.88579,             0.93961,             0.74781,            0.013817,             0.00277,           0.0050464,            0.006337,            0.006337,            0.006337
                  39,            0.022484,           0.0068225,            0.018715,             0.90197,             0.87848,             0.93372,              0.7438,            0.013262,           0.0028271,           0.0051875,            0.006238,            0.006238,            0.006238
                  40,            0.022515,           0.0065716,            0.017443,             0.93534,             0.88308,             0.94977,             0.76307,            0.013104,           0.0027011,           0.0051483,            0.006139,            0.006139,            0.006139
                  41,            0.022206,           0.0065712,            0.018072,             0.94289,             0.86603,             0.94911,             0.76122,            0.013201,           0.0027026,           0.0047468,             0.00604,             0.00604,             0.00604
                  42,              0.0227,           0.0065695,            0.017928,              0.9014,             0.88501,             0.93812,             0.75737,            0.013287,           0.0026869,           0.0046861,            0.005941,            0.005941,            0.005941
                  43,             0.02232,           0.0065796,            0.017407,             0.94351,             0.89265,             0.94794,             0.76896,            0.013501,           0.0027436,           0.0041929,            0.005842,            0.005842,            0.005842
                  44,            0.022196,           0.0066852,            0.017723,             0.96555,             0.88353,             0.95748,             0.77156,            0.012798,            0.002616,           0.0038223,            0.005743,            0.005743,            0.005743
                  45,            0.021562,           0.0064704,            0.017045,             0.94303,             0.89212,             0.95589,             0.77256,            0.013036,           0.0026601,           0.0041495,            0.005644,            0.005644,            0.005644
                  46,            0.021973,              0.0066,            0.017157,             0.94129,             0.87884,             0.94864,             0.76105,            0.013271,            0.002727,           0.0043519,            0.005545,            0.005545,            0.005545
                  47,            0.021757,           0.0064401,            0.017298,             0.94656,              0.8969,             0.95696,             0.77524,            0.012921,           0.0027054,           0.0041333,            0.005446,            0.005446,            0.005446
                  48,            0.021405,           0.0065823,            0.016361,             0.92684,             0.90026,             0.95477,             0.77177,            0.012483,           0.0026798,           0.0042511,            0.005347,            0.005347,            0.005347
                  49,            0.021169,           0.0063652,               0.016,             0.94542,             0.89564,             0.95468,             0.77713,            0.012662,           0.0026569,           0.0036312,            0.005248,            0.005248,            0.005248
                  50,            0.021236,           0.0063398,            0.015707,             0.94517,             0.90223,             0.95514,              0.7797,            0.012513,           0.0026464,           0.0036308,            0.005149,            0.005149,            0.005149
                  51,            0.020904,           0.0064782,            0.016242,              0.9309,             0.91759,             0.95863,              0.7805,            0.012755,           0.0026115,           0.0043374,             0.00505,             0.00505,             0.00505
                  52,            0.021147,            0.006357,            0.015195,             0.96242,             0.90582,             0.95713,             0.78558,            0.012367,           0.0026029,           0.0037221,            0.004951,            0.004951,            0.004951
                  53,            0.020756,           0.0062115,            0.014735,             0.93361,             0.91634,             0.95883,             0.78759,            0.012356,           0.0025743,           0.0040562,            0.004852,            0.004852,            0.004852
                  54,            0.020825,           0.0062127,            0.014712,             0.93515,             0.89811,              0.9518,             0.77728,            0.012244,           0.0025641,           0.0043962,            0.004753,            0.004753,            0.004753
                  55,            0.020361,           0.0061304,            0.014775,             0.96287,             0.90883,             0.95959,             0.78252,            0.012603,           0.0026147,           0.0035721,            0.004654,            0.004654,            0.004654
                  56,            0.020688,           0.0062954,            0.015425,             0.95234,             0.91028,             0.95948,             0.78193,            0.012761,           0.0025542,           0.0035135,            0.004555,            0.004555,            0.004555
                  57,            0.020906,           0.0062847,            0.014104,             0.94249,               0.914,             0.96363,             0.79113,            0.012269,           0.0026154,           0.0033826,            0.004456,            0.004456,            0.004456
                  58,            0.020143,           0.0061749,            0.013738,             0.94601,             0.92002,             0.96069,             0.78804,            0.012311,           0.0025851,           0.0034714,            0.004357,            0.004357,            0.004357
                  59,            0.020293,           0.0061454,            0.013724,             0.94782,             0.91255,             0.95833,             0.79231,            0.011964,           0.0025663,           0.0033164,            0.004258,            0.004258,            0.004258
                  60,            0.020218,           0.0061964,            0.014185,             0.92774,             0.93919,             0.96379,             0.79491,            0.011987,           0.0025561,           0.0032711,            0.004159,            0.004159,            0.004159
                  61,            0.020315,            0.005957,            0.012555,             0.95045,             0.92616,             0.96493,             0.80225,            0.011809,           0.0025263,           0.0027187,             0.00406,             0.00406,             0.00406
                  62,            0.019616,            0.006011,            0.013663,             0.95971,             0.91603,             0.96248,               0.791,             0.01194,           0.0025325,           0.0030417,            0.003961,            0.003961,            0.003961
                  63,            0.019707,           0.0060471,            0.012938,             0.95984,             0.92389,             0.96505,             0.80627,            0.011592,           0.0025099,           0.0026237,            0.003862,            0.003862,            0.003862
                  64,            0.019531,           0.0061101,             0.01256,              0.9503,              0.9246,             0.96384,             0.79573,            0.011828,           0.0025539,           0.0026365,            0.003763,            0.003763,            0.003763
                  65,            0.019682,           0.0058696,            0.012726,             0.93539,             0.93405,             0.96646,             0.80364,            0.011772,            0.002524,           0.0026725,            0.003664,            0.003664,            0.003664
                  66,             0.01962,           0.0059487,            0.012238,             0.95841,             0.93048,             0.96996,             0.80354,            0.011819,           0.0025486,             0.00247,            0.003565,            0.003565,            0.003565
                  67,            0.019214,           0.0059391,            0.012293,             0.93917,             0.93864,             0.97022,              0.8069,            0.011762,           0.0024946,           0.0024402,            0.003466,            0.003466,            0.003466
                  68,            0.019313,            0.005901,             0.01273,             0.92635,             0.93925,             0.96558,             0.80172,            0.011611,           0.0025157,           0.0027214,            0.003367,            0.003367,            0.003367
                  69,            0.019177,           0.0059409,            0.011982,             0.94134,              0.9428,             0.96746,             0.80231,            0.011436,           0.0024733,           0.0030855,            0.003268,            0.003268,            0.003268
                  70,            0.018956,           0.0057577,            0.011928,              0.9397,             0.94716,             0.96656,             0.80743,            0.011411,           0.0024651,            0.002701,            0.003169,            0.003169,            0.003169
                  71,            0.018469,           0.0058693,            0.012216,             0.95924,             0.92461,             0.96749,             0.80796,            0.011536,           0.0024531,           0.0025128,             0.00307,             0.00307,             0.00307
                  72,            0.018353,           0.0057529,            0.012161,             0.94686,             0.93017,             0.96772,              0.8044,            0.011294,           0.0024463,           0.0027274,            0.002971,            0.002971,            0.002971
                  73,            0.018565,              0.0058,            0.011914,             0.95079,             0.91163,             0.96586,             0.80891,            0.011232,            0.002455,           0.0027793,            0.002872,            0.002872,            0.002872
                  74,            0.018173,           0.0056702,            0.012055,             0.94349,             0.94252,             0.96568,             0.80434,            0.011318,           0.0024482,            0.002671,            0.002773,            0.002773,            0.002773
                  75,            0.018214,            0.005712,            0.011101,             0.93477,             0.94638,             0.96862,             0.81569,            0.011112,           0.0024573,           0.0026205,            0.002674,            0.002674,            0.002674
                  76,            0.018375,           0.0057657,            0.011328,             0.95611,             0.93387,             0.96881,             0.81273,            0.011393,           0.0024402,           0.0023113,            0.002575,            0.002575,            0.002575
                  77,            0.018274,           0.0056682,             0.01141,             0.94261,              0.9467,             0.96942,             0.81336,            0.011096,           0.0024265,           0.0023557,            0.002476,            0.002476,            0.002476
                  78,            0.017974,           0.0056621,            0.010609,             0.94326,              0.9483,             0.96965,             0.80826,            0.011054,           0.0023979,           0.0022377,            0.002377,            0.002377,            0.002377
                  79,            0.017557,           0.0057008,            0.010514,             0.94825,             0.94826,             0.97205,             0.81685,             0.01094,           0.0024169,           0.0021145,            0.002278,            0.002278,            0.002278
                  80,            0.017933,            0.005674,           0.0098026,             0.95701,              0.9412,             0.97033,             0.81122,            0.011239,           0.0024168,           0.0020611,            0.002179,            0.002179,            0.002179
                  81,            0.017622,            0.005651,            0.010234,             0.96336,             0.94114,             0.97279,             0.81653,            0.010972,           0.0023785,           0.0019588,             0.00208,             0.00208,             0.00208
                  82,            0.017724,           0.0055427,            0.011302,             0.96894,             0.93261,             0.97179,              0.8152,            0.011087,           0.0023853,           0.0019967,            0.001981,            0.001981,            0.001981
                  83,            0.017555,           0.0056221,           0.0098622,             0.95214,             0.94477,             0.97315,             0.81746,            0.010932,           0.0023633,           0.0018048,            0.001882,            0.001882,            0.001882
                  84,            0.017086,           0.0056284,           0.0095363,              0.9556,             0.94172,             0.97112,             0.82107,            0.010885,           0.0023944,           0.0018796,            0.001783,            0.001783,            0.001783
                  85,            0.017414,            0.005502,           0.0096615,             0.94654,             0.94953,             0.97193,             0.82671,            0.010734,           0.0023682,           0.0017911,            0.001684,            0.001684,            0.001684
                  86,            0.016682,           0.0055898,           0.0096638,             0.95861,             0.93913,             0.97232,             0.82574,            0.010722,           0.0023774,           0.0017778,            0.001585,            0.001585,            0.001585
                  87,            0.016784,           0.0054714,           0.0095883,             0.93098,             0.96489,              0.9717,              0.8225,             0.01069,           0.0023831,           0.0017077,            0.001486,            0.001486,            0.001486
                  88,            0.016658,           0.0053617,           0.0094658,              0.9626,             0.94086,             0.97007,             0.82025,            0.010931,           0.0023676,           0.0016404,            0.001387,            0.001387,            0.001387
                  89,            0.016458,           0.0053972,           0.0088618,             0.96478,             0.93905,             0.97072,             0.82509,            0.010786,           0.0023799,           0.0016864,            0.001288,            0.001288,            0.001288
                  90,            0.016591,           0.0053167,           0.0094692,             0.95419,             0.95046,             0.97084,             0.82723,            0.010614,           0.0023462,           0.0017641,            0.001189,            0.001189,            0.001189
                  91,            0.016377,           0.0053963,           0.0092171,             0.95549,             0.95059,             0.97327,             0.83035,             0.01068,           0.0023536,           0.0016575,             0.00109,             0.00109,             0.00109
                  92,            0.016017,           0.0053666,           0.0084844,             0.95007,             0.95067,             0.97219,             0.82716,             0.01066,           0.0023455,           0.0017202,            0.000991,            0.000991,            0.000991
                  93,            0.015889,           0.0052761,           0.0091278,             0.94581,             0.95247,             0.97274,             0.83198,            0.010578,           0.0023551,           0.0017413,            0.000892,            0.000892,            0.000892
                  94,             0.01573,           0.0052017,           0.0088339,             0.95555,             0.94366,             0.97101,             0.83165,            0.010612,           0.0023466,           0.0017855,            0.000793,            0.000793,            0.000793
                  95,            0.015834,           0.0054148,             0.00872,              0.9616,             0.93976,             0.97123,             0.82967,            0.010583,           0.0023589,           0.0018594,            0.000694,            0.000694,            0.000694
                  96,            0.015832,           0.0052189,           0.0086649,             0.94666,             0.95463,             0.97194,              0.8311,             0.01065,           0.0023339,           0.0017327,            0.000595,            0.000595,            0.000595
                  97,             0.01554,           0.0053046,           0.0086292,             0.95334,              0.9513,             0.97481,             0.83089,            0.010615,           0.0023278,           0.0015467,            0.000496,            0.000496,            0.000496
                  98,            0.015203,           0.0051174,           0.0081871,             0.96382,             0.94345,             0.97459,              0.8355,            0.010576,           0.0023262,           0.0015431,            0.000397,            0.000397,            0.000397
                  99,            0.015139,           0.0052323,           0.0083597,             0.94101,             0.96738,             0.97391,              0.8343,            0.010523,           0.0023288,           0.0014881,            0.000298,            0.000298,            0.000298
